"","BTKstd"
"1437",0.326768926368174
"1438",0.0879076143322365
"1439",0.108556651587115
"1440",0.138846104056745
"1441",0.121025865240715
"1442",0.166480900830571
"1443",0.231244973249611
"1444",0.239605531908808
"1445",0.261749910680235
"1446",0.308721788738558
"1447",0.187519176823331
"1448",0.304851267267356
"1449",0.554769321522065
"1450",0.759349503129119
"1451",0.694771405502603
"1452",0.993574336601474
"1453",1.30648287526988
"1454",1.2490025738801
"1455",1.59278853103347
"1456",1.27651163111184
"1457",1.58881183692787
"1458",0.907757728452269
"1459",1.26319767344289
"1460",1.41508438966838
"1461",1.06605059780531
"1462",1.01941856413769
"1463",1.01721589102314
"1464",0.93715941296666
"1465",1.14501485328849
"1466",0.871464633355641
"1467",0.798180088180236
"1468",0.834931526578957
"1469",1.44639781829326
"1470",1.13751996678024
"1471",1.71374463231306
"1472",1.71496074942699
"1473",1.258191139766
"1474",1.13351292652635
"1475",0.929674709284475
"1476",1.19745291117948
"1477",0.729626102011131
"1478",0.977308233683139
"1479",0.915681883208896
"1480",1.01334009009219
"1481",0.743593020630538
"1482",0.855296912226496
"1483",1.03437954870256
"1484",1.24680287458726
"1485",1.99611509677449
"1486",1.42532511696824
"1487",1.02938967976224
"1488",1.04855854480591
"1489",1.13111388424091
"1490",1.13690249181707
"1491",1.30836323797375
"1492",1.08621398809143
"1493",0.924965499666926
"1494",0.852736145967636
"1495",1.06040233668838
"1496",1.28794514501198
"1497",1.32307946681896
"1498",0.852032245849529
"1499",0.987521217750604
"1500",0.902278849211211
"1501",1.02245715581786
"1502",0.703405266351811
"1503",0.958608778468611
"1504",1.18183321897582
"1505",1.19116735303999
"1506",1.4990037488199
"1507",0.887526532949215
"1508",1.29541169082489
"1509",1.04068126223508
"1510",1.28634036370779
"1511",1.07793549138022
"1512",0.964969691458558
"1513",0.936546975896153
"1514",0.974732289289355
"1515",0.797345339830719
"1516",0.944868103566798
"1517",1.07700786800118
"1518",0.989430975401747
"1519",1.0229702139811
"1520",1.28094543613795
"1521",1.78356356501904
"1522",1.22231236008487
"1523",1.27811802977323
"1524",0.972735353450479
"1525",1.414480203424
"1526",0.937946220894423
"1527",1.03529154494535
"1528",1.15749478601792
"1529",1.14839332225721
"1530",0.917117365552717
"1531",1.2487127590812
"1532",0.654528828424595
"1533",0.640618058810007
"1534",0.543558951447434
"1535",0.925896777449242
"1536",0.757582584193351
"1537",0.740762723320641
"1538",0.872793484790811
"1539",1.07907732118208
"1540",0.824901288959957
"1541",0.806524537763046
"1542",0.873501828582716
"1543",0.907068741869203
"1544",0.793768781641902
"1545",0.856302966362829
"1546",1.22499423308927
"1547",1.16335499418915
"1548",1.22951293545659
"1549",1.06025271608521
"1550",1.0865120391024
"1551",0.712593870259497
